temperature_1,temperature_2,temperature_3,pressure_1,pressure_2,ultrasonic
78.37,71.69,75.44,4.41,4.26,19.91
98.14,98.57,98.3,7.63,7.35,30.55
71.49,76.99,75.67,4.43,4.33,17.28
76.41,74.28,79.29,4.72,4.68,17.8
78.5,78.94,77.06,4.54,4.72,14.39
72.43,76.23,76.56,4.28,4.48,18.61
97.97,91.73,99.84,7.46,7.45,1.31
70.99,75.39,74.25,4.51,4.41,14.69
72.76,77.09,71.31,4.47,4.39,16.69
72.48,73.04,77.67,4.57,4.59,17.06
74.41,72.55,75.98,4.4,4.69,17.83
72.55,72.03,72.37,4.52,4.42,18.07
75.16,78.84,78.64,4.38,4.64,19.33
76.97,73.19,70.76,4.44,4.73,19.22
73.41,76.1,78.18,4.4,4.65,18.74
73.42,77.86,76.88,4.28,4.61,16.11
74.93,75.05,76.41,4.46,4.41,16.65
72.26,70.81,78.3,4.41,4.36,17.89
75.84,72.3,72.55,4.72,4.42,19.23
72.53,75.99,70.41,4.74,4.52,14.06
99.06,98.19,92.88,7.58,7.58,31.39
73.27,71.11,75.16,4.69,4.47,17.25
78.77,75.9,72.51,4.6,4.4,17.83
78.21,76.9,71.27,4.49,4.34,16.22
90.62,91.82,99.38,7.7,7.64,28.19
75.59,76.06,76.54,4.57,4.63,14.21
78.96,78.98,71.37,4.45,4.5,15.22
78.19,70.65,78.45,4.39,4.65,15.54
78.0,73.63,78.73,4.43,4.58,19.31
70.9,70.56,72.41,4.42,4.43,19.05
78.33,73.47,74.88,4.66,4.26,14.9
76.49,72.86,79.5,4.74,4.4,16.47
72.73,74.2,71.43,4.74,4.36,19.38
77.03,78.46,77.83,4.66,4.44,15.81
75.27,77.95,73.39,4.63,4.45,15.96
94.8,99.17,92.34,7.43,7.34,0.4
73.6,70.11,70.88,4.33,4.56,19.27
78.72,72.78,73.52,4.32,4.56,17.87
76.13,79.95,75.27,4.26,4.53,15.56
79.85,70.22,73.43,4.4,4.71,19.31
72.02,75.12,73.08,4.66,4.43,17.58
75.04,76.73,72.61,4.53,4.6,14.28
70.23,76.94,74.94,4.57,4.41,16.05
72.31,75.74,77.35,4.65,4.59,18.49
72.3,74.08,79.32,4.61,4.32,19.09
71.62,75.28,74.94,4.3,4.28,16.7
73.57,76.63,77.64,4.44,4.61,16.53
73.42,72.41,72.18,4.55,4.49,16.34
76.84,79.51,74.7,4.39,4.72,16.55
71.03,79.04,79.19,4.73,4.66,18.84
71.95,70.32,78.09,4.47,4.38,18.43
91.39,93.06,97.01,7.65,7.62,30.22
75.66,75.38,78.47,4.42,4.6,19.2
73.49,78.01,73.44,4.6,4.49,14.14
74.45,78.02,72.74,4.73,4.73,17.68
73.81,73.45,77.76,4.49,4.53,19.09
75.06,74.0,73.47,4.28,4.26,15.38
70.2,78.87,73.43,4.49,4.68,16.61
76.42,78.97,78.0,4.39,4.36,15.86
75.55,78.36,76.78,4.73,4.35,17.65
76.65,79.55,73.36,4.6,4.44,18.32
74.32,72.7,73.99,4.52,4.71,14.0
75.57,78.38,73.96,4.44,4.31,19.02
76.07,76.43,76.33,4.53,4.73,17.57
79.14,73.26,70.17,4.71,4.33,16.45
71.22,73.99,72.4,4.54,4.7,19.07
76.88,78.68,76.79,4.45,4.48,16.23
74.54,72.59,75.38,4.62,4.66,18.88
72.47,70.17,71.14,4.32,4.33,15.95
78.76,72.05,73.23,4.41,4.51,19.54
72.73,72.43,72.41,4.47,4.65,17.45
79.43,75.06,70.52,4.32,4.43,15.52
72.44,70.82,70.37,4.45,4.58,14.28
77.89,78.68,74.33,4.49,4.33,16.1
78.43,70.08,79.26,4.55,4.43,18.15
76.81,70.09,70.15,4.31,4.64,15.47
72.71,74.96,71.44,4.3,4.64,16.11
76.76,72.29,73.34,4.66,4.27,15.16
73.51,71.44,78.26,4.45,4.27,15.13
76.65,75.12,79.65,4.45,4.65,15.91
94.38,94.13,94.88,7.36,7.49,31.39
70.99,78.05,72.56,4.53,4.32,17.1
74.36,74.45,76.83,4.44,4.62,18.59
98.2,93.23,92.89,7.58,7.62,1.2
73.74,70.39,74.16,4.39,4.54,19.46
76.45,76.14,78.37,4.35,4.5,15.95
72.28,77.8,78.85,4.25,4.39,17.8
77.56,76.87,71.31,4.71,4.69,14.04
76.63,79.18,76.0,4.72,4.62,18.88
70.83,75.35,73.31,4.54,4.71,14.02
73.17,76.72,73.43,4.31,4.71,19.22
75.45,78.21,79.0,4.73,4.51,14.28
79.2,78.47,73.95,4.62,4.59,17.71
71.03,77.99,79.91,4.53,4.68,18.71
73.45,79.88,70.46,4.25,4.62,17.15
77.37,74.31,77.13,4.59,4.46,15.14
72.95,71.92,73.17,4.33,4.65,18.99
76.21,73.69,73.32,4.25,4.37,15.64
77.48,70.54,79.95,4.71,4.38,17.8
78.86,72.04,74.01,4.54,4.49,14.67
76.04,73.57,75.92,4.26,4.75,14.69
71.86,72.71,71.25,4.26,4.31,19.74
78.35,79.44,77.42,4.68,4.31,15.35
72.87,74.36,73.9,4.46,4.3,14.73
71.54,71.6,79.3,4.54,4.33,15.19
76.01,75.36,76.99,4.72,4.51,16.9
73.1,79.07,72.15,4.39,4.37,18.33
75.21,70.74,70.26,4.52,4.4,17.31
70.04,72.84,79.98,4.53,4.56,19.44
70.34,79.2,79.94,4.6,4.57,18.05
75.42,78.91,78.61,4.54,4.41,16.12
70.52,71.56,74.11,4.27,4.37,19.7
76.45,74.74,72.8,4.45,4.59,16.89
75.69,72.86,75.51,4.47,4.32,14.41
77.95,72.45,78.61,4.29,4.41,19.29
77.61,72.07,71.02,4.38,4.63,15.37
76.48,75.71,79.1,4.74,4.42,18.98
74.32,79.52,77.19,4.71,4.5,15.02
75.61,75.01,74.87,4.56,4.39,14.93
73.25,78.76,77.02,4.45,4.68,19.87
73.47,78.69,79.55,4.26,4.3,15.19
79.7,73.29,72.05,4.64,4.4,15.8
70.03,71.97,72.46,4.29,4.3,15.95
79.78,76.97,72.81,4.55,4.74,15.63
76.95,73.27,74.91,4.28,4.54,18.29
77.0,78.13,70.62,4.27,4.29,14.41
73.78,77.84,79.59,4.69,4.63,19.88
78.08,79.9,70.98,4.34,4.36,18.34
70.3,71.4,73.09,4.51,4.45,19.52
75.14,74.68,71.47,4.34,4.49,19.25
74.14,78.24,77.25,4.37,4.67,16.65
77.9,71.74,79.77,4.41,4.61,15.43
77.12,76.27,70.57,4.61,4.34,15.0
72.43,75.45,71.04,4.6,4.29,15.91
72.82,76.36,70.63,4.6,4.5,19.04
71.98,73.19,74.13,4.51,4.65,18.39
98.34,92.79,96.18,7.36,7.6,1.03
70.76,75.57,79.24,4.44,4.68,19.89
73.9,70.66,70.65,4.64,4.62,17.72
71.72,79.9,76.59,4.39,4.58,14.65
72.09,73.01,77.17,4.63,4.38,18.51
70.35,72.74,75.91,4.29,4.43,15.68
78.88,72.06,78.54,4.27,4.68,18.09
74.95,71.24,77.09,4.62,4.71,14.77
78.81,71.94,75.24,4.59,4.59,17.06
78.91,78.37,76.48,4.49,4.41,14.61
70.54,74.64,79.77,4.69,4.68,15.74
77.31,78.52,74.91,4.71,4.53,16.72
79.78,74.98,78.96,4.35,4.47,17.72
92.75,92.51,90.92,7.39,7.36,33.95
76.41,77.82,70.28,4.56,4.73,15.61
76.89,75.23,72.09,4.43,4.34,19.27
76.11,70.18,75.18,4.25,4.62,15.57
70.99,77.07,72.71,4.64,4.54,19.72
74.3,73.66,72.87,4.39,4.55,17.27
73.99,78.8,71.57,4.46,4.69,19.15
73.99,77.32,70.33,4.38,4.68,15.69
79.0,76.2,79.01,4.43,4.39,15.84
79.77,78.53,74.16,4.65,4.44,19.49
72.97,70.57,73.88,4.57,4.27,14.3
75.42,78.65,72.39,4.4,4.34,17.51
26.66,27.74,26.68,8.75,231.48,588.48
26.66,27.71,26.7,8.75,224.24,587.05
26.66,27.71,26.7,8.75,224.24,587.05
26.66,27.67,26.7,8.75,217.01,597.27
26.66,27.67,26.7,8.75,217.01,597.27
26.66,27.67,26.71,8.75,224.24,587.05
26.66,27.67,26.71,8.75,224.24,587.05
26.66,27.74,26.68,8.75,224.24,594.0
26.66,27.74,26.68,8.75,224.24,594.0
26.66,27.71,26.68,8.75,224.24,587.46
26.66,27.71,26.68,8.75,224.24,587.46
26.66,27.74,26.68,8.75,217.01,587.05
26.66,27.74,26.68,8.75,217.01,587.05
26.66,27.71,26.7,8.75,224.24,598.09
26.66,27.71,26.7,8.75,224.24,598.09
26.66,27.67,26.69,8.75,217.01,582.96
26.66,27.67,26.69,8.75,217.01,582.96
26.66,27.71,26.7,8.75,231.48,594.0
26.66,27.71,26.7,8.75,231.48,594.0
26.66,27.67,26.7,8.75,224.24,587.05
26.66,27.67,26.7,8.75,224.24,587.05
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.71,26.69,8.75,224.24,587.05
26.66,27.71,26.69,8.75,224.24,587.05
26.66,27.71,26.7,8.75,224.24,587.05
26.66,27.71,26.7,8.75,224.24,587.05
26.66,27.71,26.68,8.75,217.01,593.59
26.66,27.71,26.68,8.75,217.01,593.59
26.66,27.71,26.69,8.75,224.24,587.05
26.66,27.71,26.69,8.75,224.24,587.05
26.66,27.71,26.69,8.75,217.01,594.0
26.66,27.71,26.69,8.75,217.01,594.0
26.66,27.67,26.71,8.75,217.01,587.05
26.66,27.67,26.71,8.75,217.01,587.05
26.66,27.71,26.7,8.75,217.01,594.0
26.66,27.71,26.7,8.75,217.01,594.0
26.66,27.71,26.73,8.75,224.24,587.05
26.66,27.71,26.73,8.75,224.24,587.05
26.66,27.67,26.71,8.75,217.01,587.87
26.66,27.67,26.71,8.75,217.01,587.87
26.66,27.67,26.71,8.75,231.48,587.05
26.66,27.67,26.71,8.75,231.48,587.05
26.66,27.67,26.7,8.75,224.24,587.46
26.66,27.67,26.7,8.75,224.24,587.46
26.66,27.67,26.7,8.75,217.01,593.18
26.66,27.67,26.7,8.75,217.01,593.18
26.66,27.71,26.71,8.75,224.24,587.46
26.66,27.71,26.71,8.75,224.24,587.46
26.66,27.71,26.7,8.75,224.24,592.36
26.66,27.71,26.7,8.75,224.24,592.36
26.66,27.74,26.69,8.75,217.01,587.46
26.66,27.74,26.69,8.75,217.01,587.46
26.66,27.74,26.68,8.75,217.01,594.0
26.66,27.74,26.68,8.75,217.01,594.0
26.66,27.71,26.69,8.75,224.24,584.39
26.66,27.71,26.69,8.75,224.24,584.39
26.66,27.71,26.68,8.75,217.01,594.0
26.66,27.71,26.68,8.75,217.01,594.0
26.66,27.67,26.71,8.75,224.24,584.39
26.66,27.67,26.71,8.75,224.24,584.39
26.66,27.67,26.7,8.75,217.01,597.47
26.66,27.67,26.7,8.75,217.01,597.47
26.66,27.71,26.7,8.75,217.01,587.05
26.66,27.71,26.7,8.75,217.01,587.05
26.66,27.74,26.68,8.75,217.01,587.05
26.66,27.74,26.68,8.75,217.01,587.05
26.66,27.71,26.7,8.75,224.24,594.0
26.66,27.71,26.7,8.75,224.24,594.0
26.66,27.67,26.71,8.75,217.01,584.39
26.66,27.67,26.71,8.75,217.01,584.39
26.66,27.71,26.7,8.75,231.48,595.63
26.66,27.71,26.7,8.75,231.48,595.63
26.66,27.74,26.68,8.75,217.01,587.05
26.66,27.74,26.68,8.75,217.01,587.05
26.66,27.71,26.7,8.75,224.24,587.05
26.66,27.71,26.7,8.75,224.24,587.05
26.66,27.67,26.69,8.75,224.24,600.95
26.66,27.67,26.69,8.75,224.24,600.95
26.66,27.74,26.68,8.75,224.24,587.05
26.66,27.74,26.68,8.75,224.24,587.05
26.66,27.74,26.67,8.75,224.24,594.0
26.66,27.74,26.67,8.75,224.24,594.0
26.66,27.67,26.7,8.75,224.24,593.18
26.66,27.67,26.7,8.75,224.24,593.18
26.66,27.67,26.69,8.75,224.24,587.05
26.66,27.67,26.69,8.75,224.24,587.05
26.66,27.74,26.67,8.75,224.24,545.16
26.66,27.74,26.67,8.75,224.24,545.16
26.66,27.71,26.69,8.61,238.72,545.16
26.66,27.71,26.69,8.61,238.72,545.16
26.66,27.67,26.68,8.75,217.01,599.52
26.66,27.67,26.68,8.75,217.01,599.52
26.66,27.67,26.7,8.75,224.24,587.05
26.66,27.67,26.7,8.75,224.24,587.05
26.66,27.67,26.69,8.75,217.01,603.6
26.66,27.67,26.69,8.75,217.01,603.6
26.66,27.74,26.68,8.75,224.24,587.05
26.66,27.74,26.68,8.75,224.24,587.05
26.66,27.74,26.67,8.75,217.01,600.95
26.66,27.74,26.67,8.75,217.01,600.95
26.66,27.71,26.68,8.68,231.48,587.05
26.66,27.71,26.68,8.68,231.48,587.05
26.66,27.74,26.67,8.75,217.01,595.43
26.66,27.74,26.67,8.75,217.01,595.43
26.66,27.71,26.7,8.75,224.24,594.0
26.66,27.71,26.7,8.75,224.24,594.0
26.66,27.67,26.7,8.75,217.01,594.41
26.66,27.67,26.7,8.75,217.01,594.41
26.66,27.67,26.71,8.75,224.24,594.0
26.66,27.67,26.71,8.75,224.24,594.0
26.66,27.67,26.7,8.75,217.01,595.23
26.66,27.67,26.7,8.75,217.01,595.23
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.67,26.69,8.75,217.01,594.0
26.66,27.67,26.69,8.75,217.01,594.0
26.66,27.67,26.69,8.75,224.24,594.0
26.66,27.67,26.69,8.75,224.24,594.0
26.66,27.67,26.69,8.75,217.01,594.41
26.66,27.67,26.69,8.75,217.01,594.41
26.66,27.67,26.69,8.75,224.24,594.0
26.66,27.67,26.69,8.75,224.24,594.0
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.71,26.68,8.75,224.24,596.66
26.66,27.71,26.68,8.75,224.24,596.66
26.66,27.74,26.67,8.75,224.24,594.0
26.66,27.74,26.67,8.75,224.24,594.0
26.66,27.71,26.67,8.75,217.01,600.95
26.66,27.71,26.67,8.75,217.01,600.95
26.66,27.71,26.67,8.75,224.24,592.36
26.66,27.71,26.67,8.75,224.24,592.36
26.66,27.71,26.68,8.75,224.24,600.95
26.66,27.71,26.68,8.75,224.24,600.95
26.66,27.67,26.71,8.75,231.48,587.05
26.66,27.67,26.71,8.75,231.48,587.05
26.66,27.67,26.69,8.75,224.24,602.79
26.66,27.67,26.69,8.75,224.24,602.79
26.66,27.67,26.7,8.75,231.48,587.05
26.66,27.67,26.7,8.75,231.48,587.05
26.66,27.67,26.68,8.75,217.01,600.95
26.66,27.67,26.68,8.75,217.01,600.95
26.66,27.74,26.68,8.75,224.24,594.0
26.66,27.74,26.68,8.75,224.24,594.0
26.66,27.74,26.67,8.75,217.01,597.47
26.66,27.74,26.67,8.75,217.01,597.47
26.66,27.71,26.68,8.75,217.01,594.0
26.66,27.71,26.68,8.75,217.01,594.0
26.66,27.71,26.67,8.75,217.01,594.2
26.66,27.71,26.67,8.75,217.01,594.2
26.66,27.71,26.68,8.75,231.48,594.0
26.66,27.71,26.68,8.75,231.48,594.0
26.66,27.67,26.68,8.75,209.78,594.0
26.66,27.67,26.68,8.75,209.78,594.0
26.66,27.67,26.69,8.75,224.24,597.47
26.66,27.67,26.69,8.75,224.24,597.47
26.66,27.67,26.7,8.75,231.48,594.0
26.66,27.67,26.7,8.75,231.48,594.0
26.66,27.67,26.7,8.75,224.24,599.11
26.66,27.67,26.7,8.75,224.24,599.11
26.66,27.67,26.71,8.75,224.24,594.0
26.66,27.67,26.71,8.75,224.24,594.0
26.66,27.6,26.7,8.68,224.24,600.95
26.66,27.6,26.7,8.68,224.24,600.95
26.66,27.67,26.69,8.68,224.24,594.0
26.66,27.67,26.69,8.68,224.24,594.0
26.66,27.6,26.69,8.75,224.24,595.23
26.66,27.6,26.69,8.75,224.24,595.23
26.66,27.67,26.69,8.75,231.48,594.0
26.66,27.67,26.69,8.75,231.48,594.0
26.66,27.6,26.69,8.75,224.24,597.06
26.66,27.6,26.69,8.75,224.24,597.06
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.67,26.7,8.75,224.24,594.0
26.66,27.67,26.68,8.75,217.01,601.77
26.66,27.67,26.68,8.75,217.01,601.77
26.66,27.67,26.67,8.75,231.48,594.0
26.66,27.67,26.67,8.75,231.48,594.0
26.66,27.71,26.66,8.75,224.24,600.95
26.66,27.71,26.66,8.75,224.24,600.95
26.66,27.71,26.67,8.75,217.01,592.36
26.66,27.71,26.67,8.75,217.01,592.36
26.66,27.67,26.66,8.75,224.24,600.95
26.66,27.67,26.66,8.75,224.24,600.95
26.66,27.67,26.67,8.75,224.24,587.05
26.66,27.67,26.67,8.75,224.24,587.05
26.66,27.67,26.68,8.75,217.01,605.03
26.66,27.67,26.68,8.75,217.01,605.03
26.66,27.6,26.69,8.75,231.48,587.05
26.66,27.6,26.69,8.75,231.48,587.05
26.66,27.6,26.69,8.75,224.24,601.15
26.66,27.6,26.69,8.75,224.24,601.15
26.66,27.6,26.68,8.75,224.24,589.71
26.66,27.6,26.68,8.75,224.24,589.71
26.66,27.67,26.68,8.75,224.24,595.84
26.66,27.67,26.68,8.75,224.24,595.84
26.66,27.71,26.66,8.75,231.48,594.0
26.66,27.71,26.66,8.75,231.48,594.0
26.66,27.67,26.67,8.75,217.01,592.36
26.66,27.67,26.67,8.75,217.01,592.36
26.66,27.67,26.68,8.75,224.24,601.15
26.66,27.67,26.68,8.75,224.24,601.15
26.66,27.6,26.7,8.75,224.24,587.05
26.66,27.6,26.7,8.75,224.24,587.05
26.66,27.6,26.68,8.75,217.01,605.24
26.66,27.6,26.68,8.75,217.01,605.24
26.66,27.67,26.66,8.75,231.48,592.36
26.66,27.67,26.66,8.75,231.48,592.36
26.66,27.67,26.65,8.75,217.01,594.82
26.66,27.67,26.65,8.75,217.01,594.82
26.66,27.6,26.68,8.75,224.24,599.52
26.66,27.6,26.68,8.75,224.24,599.52
26.66,27.6,26.67,8.75,224.24,589.71
26.66,27.6,26.67,8.75,224.24,589.71
26.66,27.67,26.67,8.97,224.24,605.24
26.66,27.67,26.67,8.97,224.24,605.24
26.66,27.6,26.66,8.75,224.24,590.32
26.66,27.6,26.66,8.75,224.24,590.32
26.66,27.6,26.68,8.75,224.24,599.31
26.66,27.6,26.68,8.75,224.24,599.31
26.66,27.6,26.67,8.75,217.01,600.95
26.66,27.6,26.67,8.75,217.01,600.95
26.66,27.67,26.67,8.75,224.24,590.53
26.66,27.67,26.67,8.75,224.24,590.53
26.66,27.67,26.67,8.75,224.24,601.36
26.66,27.67,26.67,8.75,224.24,601.36
26.66,27.6,26.68,8.75,224.24,593.39
26.66,27.6,26.68,8.75,224.24,593.39
26.66,27.6,26.69,8.75,224.24,594.0
26.66,27.6,26.69,8.75,224.24,594.0
26.66,27.6,26.68,8.75,217.01,600.54
26.66,27.6,26.68,8.75,217.01,600.54
26.66,27.71,26.67,8.75,231.48,587.05
26.66,27.71,26.67,8.75,231.48,587.05
26.66,27.67,26.66,8.75,224.24,607.28
26.66,27.67,26.66,8.75,224.24,607.28
26.66,27.56,26.69,8.75,224.24,590.53
26.66,27.56,26.69,8.75,224.24,590.53
26.66,27.56,26.67,8.75,224.24,594.2
26.66,27.56,26.67,8.75,224.24,594.2
26.66,27.6,26.68,8.75,224.24,594.0
26.66,27.67,26.67,8.75,224.24,594.0
26.66,27.67,26.67,8.75,224.24,594.0
26.66,27.67,26.66,8.75,224.24,600.95
26.66,27.67,26.66,8.75,224.24,600.95
26.66,27.6,26.68,8.75,224.24,587.05
26.66,27.6,26.68,8.75,224.24,587.05
26.66,27.56,26.67,8.75,217.01,603.6
26.66,27.56,26.67,8.75,217.01,603.6
26.66,27.6,26.68,8.68,231.48,593.39
26.66,27.6,26.68,8.68,231.48,593.39
26.66,27.71,26.66,8.75,217.01,594.61
26.66,27.71,26.66,8.75,217.01,594.61
26.66,27.67,26.65,8.75,224.24,599.11
26.66,27.67,26.65,8.75,224.24,599.11
26.66,27.6,26.67,8.68,224.24,587.87
26.66,27.6,26.67,8.68,224.24,587.87
26.66,27.6,26.68,8.75,217.01,604.42
26.66,27.6,26.68,8.75,217.01,604.42
26.66,27.56,26.68,8.75,224.24,587.05
26.66,27.56,26.68,8.75,224.24,587.05
26.66,27.67,26.67,8.75,217.01,604.22
26.66,27.67,26.67,8.75,217.01,604.22
26.66,27.71,26.65,8.75,224.24,587.46
26.66,27.71,26.65,8.75,224.24,587.46
26.66,27.71,26.65,8.75,224.24,600.95
26.66,27.71,26.65,8.75,224.24,600.95
26.66,27.67,26.66,8.75,224.24,592.57
26.66,27.67,26.66,8.75,224.24,592.57
26.66,27.67,26.65,8.75,224.24,600.95
26.66,27.67,26.65,8.75,224.24,600.95
26.66,27.71,26.66,8.75,224.24,587.05
26.66,27.71,26.66,8.75,224.24,587.05
26.66,27.71,26.65,8.75,217.01,604.01
26.66,27.71,26.65,8.75,217.01,604.01
26.66,27.67,26.67,8.75,231.48,587.66
26.66,27.67,26.67,8.75,231.48,587.66
26.66,27.6,26.68,8.75,224.24,600.95
26.66,27.6,26.68,8.75,224.24,600.95
26.66,27.56,26.69,8.75,224.24,594.0
26.66,27.56,26.69,8.75,224.24,594.0
26.66,27.67,26.66,8.75,217.01,592.36
26.66,27.67,26.66,8.75,217.01,592.36
26.66,27.71,26.66,8.75,231.48,604.22
26.66,27.71,26.66,8.75,231.48,604.22
26.66,27.6,26.68,8.75,224.24,594.0
26.66,27.6,26.68,8.75,224.24,587.05
26.66,27.6,26.68,8.75,224.24,587.05
26.66,27.71,26.66,8.75,217.01,600.33
26.66,27.71,26.66,8.75,217.01,600.33
26.66,27.6,26.69,8.75,224.24,600.95
26.66,27.6,26.69,8.75,224.24,600.95
26.66,27.67,26.65,8.75,217.01,593.59
26.66,27.67,26.65,8.75,217.01,593.59
26.66,27.6,26.68,8.75,217.01,588.48
26.66,27.6,26.68,8.75,217.01,588.48
26.66,27.67,26.65,8.75,224.24,604.42
26.66,27.67,26.65,8.75,224.24,604.42
26.66,27.6,26.69,8.75,231.48,600.95
26.66,27.6,26.69,8.75,231.48,600.95
26.66,27.6,26.67,8.75,224.24,587.66
26.66,27.6,26.67,8.75,224.24,587.66
26.66,27.71,26.66,8.75,224.24,594.0
26.66,27.71,26.66,8.75,224.24,594.0
26.66,27.6,26.68,8.75,224.24,602.17
26.66,27.6,26.68,8.75,224.24,602.17
26.66,27.67,26.65,8.75,231.48,594.2
26.66,27.67,26.65,8.75,231.48,594.2
26.66,27.6,26.67,8.75,224.24,587.05
26.66,27.6,26.67,8.75,224.24,587.05
26.66,27.6,26.67,8.75,224.24,600.95
26.66,27.6,26.67,8.75,224.24,600.95
26.66,27.71,26.65,8.75,224.24,600.95
26.66,27.71,26.65,8.75,224.24,600.95
26.66,27.6,26.68,8.75,224.24,587.05
26.66,27.6,26.68,8.75,224.24,587.05
26.66,27.67,26.65,8.75,217.01,594.0
26.66,27.67,26.65,8.75,217.01,594.0
26.66,27.6,26.68,8.75,224.24,600.95
26.66,27.6,26.68,8.75,224.24,600.95
26.66,27.6,26.67,8.75,217.01,594.0
26.66,27.6,26.67,8.75,217.01,594.0
26.66,27.71,26.65,8.75,224.24,587.05
26.66,27.71,26.65,8.75,224.24,587.05
26.66,27.6,26.69,8.75,224.24,594.0
26.66,27.6,26.69,8.75,224.24,594.0
26.66,27.71,26.65,8.75,224.24,602.17
26.66,27.71,26.65,8.75,224.24,602.17
26.66,27.6,26.69,8.75,231.48,594.2
26.66,27.6,26.69,8.75,231.48,594.2
26.66,27.71,26.65,8.75,217.01,587.05
26.66,27.71,26.65,8.75,217.01,587.05
26.66,27.6,26.68,8.75,231.48,594.0
26.66,27.67,26.65,8.75,217.01,607.69
26.66,27.67,26.65,8.75,217.01,607.69
26.66,27.6,26.68,8.75,224.24,594.2
26.66,27.6,26.68,8.75,224.24,594.2
26.66,27.6,26.68,8.75,224.24,594.2
26.66,27.71,26.65,8.75,224.24,588.28
26.66,27.67,26.68,8.75,231.48,598.29
26.66,27.67,26.68,8.75,231.48,598.29
26.66,27.67,26.67,8.75,224.24,606.26
26.66,27.67,26.67,8.75,224.24,606.26
26.66,27.67,26.67,8.75,224.24,606.26
26.66,27.71,26.66,8.75,231.48,594.0
26.66,27.67,26.69,8.75,224.24,594.0
26.66,27.67,26.69,8.75,224.24,594.0
26.66,27.67,26.66,8.75,224.24,601.36
26.66,27.67,26.66,8.75,224.24,601.36
26.66,27.67,26.68,8.75,217.01,597.88
26.66,27.67,26.68,8.75,217.01,597.88
26.66,27.6,26.68,8.75,217.01,587.05
26.66,27.6,26.68,8.75,217.01,587.05
26.66,27.71,26.66,8.75,224.24,594.41
26.66,27.71,26.66,8.75,224.24,594.41
26.66,27.71,26.66,8.75,224.24,594.41
26.66,27.6,26.68,8.75,217.01,600.95
26.66,27.67,26.68,8.75,217.01,587.26
26.66,27.67,26.68,8.75,217.01,587.26
26.66,27.71,26.66,8.75,217.01,594.0
26.66,27.71,26.66,8.75,217.01,594.0
26.66,27.6,26.68,8.75,224.24,605.03
26.66,27.6,26.68,8.75,224.24,605.03
26.66,27.67,26.67,8.75,224.24,592.36
26.66,27.67,26.67,8.75,224.24,592.36
26.66,27.71,26.66,8.75,224.24,593.39
26.66,27.71,26.66,8.75,224.24,593.39
26.66,27.6,26.67,8.75,224.24,607.49
26.66,27.6,26.67,8.75,224.24,607.49
26.66,27.67,26.67,8.75,224.24,594.0
26.66,27.67,26.67,8.75,224.24,594.0
26.66,27.71,26.65,8.75,217.01,588.28
26.66,27.71,26.65,8.75,217.01,588.28
26.66,27.6,26.68,8.75,224.24,601.15
26.66,27.6,26.68,8.75,224.24,601.15
26.66,27.6,26.67,8.75,224.24,594.0
26.66,27.6,26.67,8.75,224.24,594.0
